id,nome_do_produto,marca,valor_de_custo,valor_de_venda,quantidade,codigo_interno,codigo_ncm,codigo_cfop,codigo_cest,origem_cst,descricao,CNPJ
1,"PICADOR DE LEGUMES MÉDIO ",COLOMBO,0.00,185.00,5,0,0,0,0,0,_,NUTRIGEL
2,"PICADOR DE LEGUMES GRANDE",COLOMBO,233.00,233.00,9,0,0,0,0,0,_,NUTRIGEL
3,"PICADOR DE LEGUMES PEQUENO",COLOMBO,115.00,115.00,6,0,0,0,0,0,_,NUTRIGEL
4,"PICADOR DE LEGUMES GRANDE DE MESA",VITALEX,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
5,"PICADOR DE LEGUMES DE PAREDE - FIXO",VITALEX,0.00,233.00,2,0,0,0,0,0,_,NUTRIGEL
6,"PICADOR DE CARNES BOCA 22",CAF,0.00,5044.00,4,0,0,0,0,0,_,NUTRIGEL
7,"ESTUFA EVR 04 BANDEJAS LINEAR SEM LED BP 127V",TITÃ,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
8,"ESTUFA EVR 04 BANDEJAS LINEAR COM LED  LP 127V",TITÃ,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
9,"ESTUFA EVR 04 BANDEJAS LINEAR SEM LED BP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
10,"ESTUFA EVR 04 BANDEJAS LINEAR COM LED  LP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
11,"ESTUFA EVR 06 BANDEJAS DUPLAS SEM LED BP 127V",TITÃ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
12,"ESTUFA EVR 06 BANDEJAS DUPLAS COM LED LP 127V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
13,"ESTUFA EVR 06 BANDEJAS DUPLAS SEM LED BP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
14,"ESTUFA EVR 06 BANDEJAS DUPLAS COM LED LP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
15,"ESTUFA EVR 06 BANDEJAS LINEAR SEM LED BP 127V",TITÃ,0.00,0.00,3,0,0,0,0,0,_,NUTRIGEL
16,"ESTUFA EVR 06 BANDEJAS LINEAR COM LED LP 127V",TITÃ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
17,"ESTUFA EVR 06 BANDEJAS LINEAR SEM LED BP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
18,"ESTUFA EVR 06 BANDEJAS LINEAR COM LED LP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
19,"ESTUFA EVR 05 BANDEJAS LINEAR SEM LED BP 127V",TITÃ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
20,"ESTUFA EVR 05 BANDEJAS LINEAR COM LED LP 127V",TITÃ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
21,"ESTUFA EVR 05 BANDEJAS LINEAR SEM LED BP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
22,"ESTUFA EVR 05 BANDEJAS LINEAR COM LED LP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
23,"ESTUFA EVR 12 BANDEJAS DUPLAS SEM LED BP 127V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
24,"ESTUFA EVR 12 BANDEJAS DUPLAS COM LED LP 127V",TITÃ,0.00,0.00,3,0,0,0,0,0,_,NUTRIGEL
25,"ESTUFA EVR 12 BANDEJAS DUPLAS SEM LED BP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
26,"ESTUFA EVR 12 BANDEJAS DUPLAS COM LED LP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
27,"ESTUFA EVR 10 BANDEJAS DUPLAS SEM LED BP 127V",TITÃ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
28,"ESTUFA EVR 10 BANDEJAS DUPLAS COM LED LP 127V",TITÃ,0.00,0.00,3,0,0,0,0,0,_,NUTRIGEL
29,"ESTUFA EVR 10 BANDEJAS DUPLAS SEM LED BP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
30,"ESTUFA EVR 10 BANDEJAS DUPLAS COM LED LP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
31,"ESTUFA EVR 08 BANDEJAS DUPLAS SEM LED BP 127V",TITÃ,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
32,"ESTUFA EVR 08 BANDEJAS DUPLAS COM LED LP 127V",TITÃ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
33,"ESTUFA EVR 08 BANDEJAS DUPLAS SEM LED BP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
34,"ESTUFA EVR 08 BANDEJAS DUPLAS COM LED LP 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
35,"ESTUFA W 08 BAANDEJAS DUPLAS SEM LED 127V",TITÃ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
36,"ESTUFA W 08 BANDEJAS DUPLAS SEM LED 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
37,"ESTUFA W 06 BANDEJAS DUPLAS SEM LED 127V",TITÃ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
38,"ESTUFA W 06 BANDEJAS DUPLAS SEM LED 220V",TITÃ,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
39,"TACHO DE FRITURA ELÉTRICO PR-14E 220V",PROGAS,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
40,"TACHO DE FRITURA ELÉTRICO PR-14E 127V",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
41,"TACHO DE FRITURA ELÉTRICO PR-310E 220V",PROGAS,0.00,0.00,7,0,0,0,0,0,_,NUTRIGEL
42,"TACHO DE FRITURA ELÉTRICO PR-310E 127V",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
43,"TACHO DE FRITURA ELÉTRICO PR-90E 127V",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
44,"TACHO DE FRITURA ELÉTRICO PR-90E 220V",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
45,"TACHO DE FRITURA A GAS PR-70G",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
46,"TACHO DE FRITURA A GAS PR-310G",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
47,"TACHO DE FRITURA A GAS 7LTS",VENANCIO,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
48,"LIXEIRA COM PEDAL REDONDA 40LTS",JSN,0.00,254.00,7,0,0,0,0,0,_,NUTRIGEL
49,"LIXEIRA COM PEDAL REDONDA 60LTS",JSN,0.00,288.00,1,0,0,0,0,0,_,NUTRIGEL
50,"LIXEIRA COM PEDAL REDONDA 100LTS",JSN,0.00,358.00,0,0,0,0,0,0,_,NUTRIGEL
51,"LIXEIRA COM PEDAL REDONDA 40LTS",JSN,0.00,210.00,4,0,0,0,0,0,_,NUTRIGEL
52,"LIXEIRA VAI E VEM COR VERDE",ELDORADO,0.00,65.00,2,0,0,0,0,0,_,NUTRIGEL
53,"LIXEIRA VAI E VEM COR BRANCO",BOLIVAR,0.00,90.00,4,0,0,0,0,0,_,NUTRIGEL
54,"CHAPA BIFETEIRA PR-800G",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
55,"CHAPA BIFETEIRA PR-650G",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
56,"CHAPA BIFETEIRA PR-1200G",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
